gene	baseMean	log2FoldChange	padj	Comparison
FAM241B	6.24821747332125	-5.18029364099487	0.062233261721089	Short Survivor PC2 vs. Long Survivor PC2
EBF1	193.030209298784	-5.11079603002931	0.0567284254648226	Short Survivor PC2 vs. Long Survivor PC2
PREX2	721.800788900825	-5.10693309318486	0.0235697945513541	Short Survivor PC2 vs. Long Survivor PC2
OR2AG2	20.3135739555537	-5.09703433065074	0.0693321116941511	Short Survivor PC2 vs. Long Survivor PC2
SNORA81	108.365301498388	-5.09301172922042	0.0359628237582384	Short Survivor PC2 vs. Long Survivor PC2
AC008568.1	250.300550456592	-5.07956441103376	0.0661130844817568	Short Survivor PC2 vs. Long Survivor PC2
DKFZP434A062	6.92188621011152	-5.07625737557534	0.0263205877504276	Short Survivor PC2 vs. Long Survivor PC2
SNX18P3	63.3503149657354	-5.0448592101084	0.0669110300019326	Short Survivor PC2 vs. Long Survivor PC2
MCAM	20.594778857265	-5.02218881431328	0.0210508407421467	Short Survivor PC2 vs. Long Survivor PC2
AP001642.1	5.27558511927218	-4.92859553934218	0.038238028366461	Short Survivor PC2 vs. Long Survivor PC2
C2orf27A	36.0521996775379	-4.9279943015198	0.0210508407421467	Short Survivor PC2 vs. Long Survivor PC2
SNORA67	25.5616072770033	-4.89640945901119	0.0683153976162017	Short Survivor PC2 vs. Long Survivor PC2
IGFBP5	118.229952892042	-4.88303012874688	0.0792332457987609	Short Survivor PC2 vs. Long Survivor PC2
SNORA14B	496.340262572441	-4.85341259251946	0.0137660950742991	Short Survivor PC2 vs. Long Survivor PC2
NEO1	122.518150144363	-4.84455522557549	0.0194068507061879	Short Survivor PC2 vs. Long Survivor PC2
SNORA40	135.696362359018	-4.84332537703568	0.0110254995239563	Short Survivor PC2 vs. Long Survivor PC2
MIR503HG	43.5751043637065	-4.83113142562176	0.0175003497587159	Short Survivor PC2 vs. Long Survivor PC2
GSTM5	106.170506578571	-4.82048772514859	0.0261029137672719	Short Survivor PC2 vs. Long Survivor PC2
KIAA1217	95.0123015816623	-4.80931585333211	0.0120370841204089	Short Survivor PC2 vs. Long Survivor PC2
MEG8	190.872540409887	-4.79737893329539	0.0303015674242639	Short Survivor PC2 vs. Long Survivor PC2
MEG3	1171.41243163477	-4.79400206692577	0.041325660347663	Short Survivor PC2 vs. Long Survivor PC2
MOCS1	29.9784507957469	-4.76925836816006	0.0120370841204089	Short Survivor PC2 vs. Long Survivor PC2
GPRC5B	10.3981000804623	-4.76648685424229	0.093049176742275	Short Survivor PC2 vs. Long Survivor PC2
SNORA7A	27.0940924686739	-4.75706295044104	0.088971632127725	Short Survivor PC2 vs. Long Survivor PC2
AKAP12	130.940263402878	-4.73973374166564	0.0127163095337532	Short Survivor PC2 vs. Long Survivor PC2
GNG12	68.5010603123835	-4.73907938990722	0.0651725336390865	Short Survivor PC2 vs. Long Survivor PC2
LARGE1	80.0402321787553	-4.73848438228302	0.0155784558858099	Short Survivor PC2 vs. Long Survivor PC2
AC103974.1	6.51327393756087	-4.68830117598406	0.0735212297714724	Short Survivor PC2 vs. Long Survivor PC2
MT-TE	161.768208051247	-4.64524777190282	0.00178776114731884	Short Survivor PC2 vs. Long Survivor PC2
MTATP8P1	2747.80355534189	-4.61016821636049	0.00294309314383269	Short Survivor PC2 vs. Long Survivor PC2
OR2A7	14.3721947637245	-4.60767136632345	0.0416687059024605	Short Survivor PC2 vs. Long Survivor PC2
MT-ATP8	88733.8570805734	-4.60384172628734	0.00177175848806215	Short Survivor PC2 vs. Long Survivor PC2
Z97055.2	4.20398365588477	-4.58094928333527	0.0549969117760044	Short Survivor PC2 vs. Long Survivor PC2
MT-TQ	51.4540725262844	-4.57130136309849	0.0538179293250626	Short Survivor PC2 vs. Long Survivor PC2
FZD4	63.9037644772582	-4.57028954426291	0.0158853576276233	Short Survivor PC2 vs. Long Survivor PC2
AL031686.1	15.7326854409337	-4.56212111451197	0.088971632127725	Short Survivor PC2 vs. Long Survivor PC2
RIMKLA	18.1869668322657	-4.54245547398154	0.0681684248446726	Short Survivor PC2 vs. Long Survivor PC2
PRICKLE2	28.4940192796863	-4.51573159563706	0.049779016307139	Short Survivor PC2 vs. Long Survivor PC2
ITGA1	60.1427415780126	-4.51249573854854	0.0332362468708836	Short Survivor PC2 vs. Long Survivor PC2
PPARG	48.1930698025563	-4.49878251928942	0.0599042852288716	Short Survivor PC2 vs. Long Survivor PC2
MIR3648-2	433.235808018423	-4.49005021114204	0.00632022692154166	Short Survivor PC2 vs. Long Survivor PC2
THY1	26.889573355167	-4.47687943096241	0.0865710050355293	Short Survivor PC2 vs. Long Survivor PC2
SH3D19	125.188040237921	-4.46666357202307	0.0293291168002993	Short Survivor PC2 vs. Long Survivor PC2
MCC	45.8076231023152	-4.459306040068	0.00896526268907927	Short Survivor PC2 vs. Long Survivor PC2
OPLAH	10.7919085382233	-4.44705164235535	0.0673315576701378	Short Survivor PC2 vs. Long Survivor PC2
MTCO3P12	16454.1851588812	-4.44524096676919	0.00153941886709281	Short Survivor PC2 vs. Long Survivor PC2
PRKY	395.904154105211	-4.42748936340622	0.0421290742257205	Short Survivor PC2 vs. Long Survivor PC2
SYNPO	40.5002777201941	-4.3962283205596	0.0351517794556685	Short Survivor PC2 vs. Long Survivor PC2
SNORA62	9.40082965281621	-4.39552174686556	0.0865710050355293	Short Survivor PC2 vs. Long Survivor PC2
